 ,Area,Mean,X,Y
369,342,13.8,394.8,368.0
370,11,2.0,1241.3,357.2
371,50,2.0,1163.2,361.8
372,321,2.1,939.3,369.5
373,29,2.1,1325.4,360.9
374,115,2.0,457.6,367.0
375,32,3.3,1283.4,364.0
376,67,1.8,264.0,366.1
377,58,2.2,1367.9,367.1
378,35,2.2,1393.3,367.9
379,64,2.3,347.4,368.0
380,136,2.5,969.4,370.0
381,78,4.3,1311.2,367.5
382,61,2.1,328.3,371.4
383,313,2.1,1041.3,376.2
384,11,2.0,1203.6,366.9
385,96,1.9,173.8,370.6
386,71,2.0,221.4,370.2
387,519,8.4,360.3,380.7
388,135,2.0,464.4,377.2
389,8,1.9,1165.6,372.1
390,49,2.0,1225.6,376.4
391,405,2.7,421.3,384.6
392,418,2.0,709.2,386.1
393,51,2.1,1323.2,376.0
394,29,2.0,1256.5,377.6
395,46,2.1,1208.2,381.0
396,20,1.9,1349.3,376.8
397,36,2.4,1411.4,380.1
398,204,2.0,300.9,388.9
399,224,3.7,374.6,390.9
400,77,52.1,865.1,386.5
401,1,2.0,1113.5,383.5
402,2,2.0,1243.0,383.5
403,85,1.9,165.0,391.5
404,69,1.9,333.1,388.8
405,77,2.1,980.2,390.3
406,49,7.7,1384.5,386.4
407,46,1.7,189.5,390.0
408,25,2.0,1290.4,388.4
409,331,2.5,965.7,396.0
410,68,2.0,1084.6,393.9
411,9,1.9,1218.2,389.6
412,4,2.0,254.0,391.0
413,252,2.6,778.1,398.6
414,17,1.9,1186.8,393.1
415,159,111.8,1381.0,397.6
416,494,2.4,390.0,402.7
417,98,167.9,1400.7,398.8
418,78,2.0,222.0,397.3
419,83,2.0,275.3,398.4
420,172,2.0,470.1,402.2
421,83,27.3,1410.1,401.8
422,38,2.2,1274.3,402.4
423,66,2.2,1432.9,403.2
424,87,2.4,795.1,405.5
425,15,2.3,1341.4,401.6
426,26,2.0,1097.4,403.5
427,202,2.1,263.1,409.0
428,19,2.3,1345.9,405.5
429,100,2.6,443.9,409.9
430,384,3.0,820.7,418.7
431,22,2.3,1258.4,408.3
432,11,86.8,1312.1,407.4
433,53,2.1,1180.6,411.6
434,69,2.0,139.9,413.1
435,115,2.0,186.2,416.1
436,18,2.2,985.3,410.9
437,15,6.3,1390.3,410.9
438,85,1.9,244.4,416.2
439,26,2.3,977.9,414.4
440,165,1.9,492.0,421.5
441,38,2.0,1191.2,418.6
442,301,2.1,1064.9,424.8
443,63,2.1,1425.6,419.4
444,13,2.2,1144.3,420.0
445,12,36.4,1314.1,419.8
446,86,2.8,1406.2,423.1
447,127,2.1,421.2,425.3
448,19,2.4,525.1,422.0
449,18,3.7,856.6,421.7
450,36,2.0,1165.1,421.5
451,5,2.0,1359.3,420.5
452,75,2.1,280.2,424.6
453,125,2.5,435.2,425.3
454,107,2.1,206.4,427.7
455,236,2.2,330.3,431.0
456,33,2.6,1299.3,426.4
457,371,2.0,253.0,434.0
